sample_index,node_address,host_timestamp_sec,device_tick,device_timestamp_sec,device_timestamp_nanosec,device_timestamp_unix_ns,expected_timestamp_step_ns,timestamp_gap_ns,timestamp_gap_detected,tick_gap_detected,tick_gap_count,x,y,z,magnitude_xy,magnitude_xyz,applied_spec,exceeds_spec
0,30385,1.64619,0,1775542495,500976576,1775542495500976576,488281,0,0,0,0,-0.00836223,0.0111167,-1.00022,0.0139107,1.00032,2.5,0
1,30385,1.64624,1,1775542495,501464857,1775542495501464857,488281,488281,0,0,0,-0.00803546,0.0109759,-1.00146,0.0136029,1.00155,2.5,0
2,30385,1.64628,2,1775542495,501953138,1775542495501953138,488281,488281,0,0,0,-0.00820663,0.0106004,-1.0011,0.0134059,1.00119,2.5,0
3,30385,1.64631,3,1775542495,502441419,1775542495502441419,488281,488281,0,0,0,-0.0089691,0.0100999,-0.998681,0.0135075,0.998773,2.5,0
4,30385,1.64635,4,1775542495,502929701,1775542495502929701,488281,488282,0,0,0,-0.00976269,0.00972442,-0.995701,0.0137795,0.995797,2.5,0
5,30385,1.64638,5,1775542495,503417982,1775542495503417982,488281,488281,0,0,0,-0.00987162,0.0102563,-0.994571,0.0142352,0.994672,2.5,0
6,30385,1.64642,6,1775542495,503906263,1775542495503906263,488281,488281,0,0,0,-0.00914027,0.0115703,-0.995579,0.014745,0.995688,2.5,0
7,30385,1.64645,7,1775542495,504394544,1775542495504394544,488281,488281,0,0,0,-0.00848672,0.0125089,-0.994922,0.0151161,0.995037,2.5,0
8,30385,1.64649,8,1775542495,504882826,1775542495504882826,488281,488282,0,0,0,-0.0079421,0.0119144,-0.989497,0.0143189,0.989601,2.5,0
9,30385,1.64652,9,1775542495,505371107,1775542495505371107,488281,488281,0,0,0,-0.0079421,0.00970878,-0.98123,0.0125434,0.98131,2.5,0
10,30385,1.64656,10,1775542495,505859388,1775542495505859388,488281,488281,0,0,0,-0.00872013,0.00881713,-0.974781,0.0124009,0.974859,2.5,0
11,30385,1.64659,11,1775542495,506347669,1775542495506347669,488281,488281,0,0,0,-0.00954484,0.00891098,-0.973772,0.0130579,0.97386,2.5,0
12,30385,1.64663,12,1775542495,506835951,1775542495506835951,488281,488282,0,0,0,-0.00920251,0.00941156,-0.979915,0.013163,0.980004,2.5,0
13,30385,1.64666,13,1775542495,507324232,1775542495507324232,488281,488281,0,0,0,-0.00878237,0.0103971,-0.991957,0.0136099,0.992051,2.5,0
14,30385,1.6467,14,1775542495,507812513,1775542495507812513,488281,488281,0,0,0,-0.00892242,0.0114764,-1.00507,0.0145368,1.00517,2.5,0
15,30385,1.64674,15,1775542495,508300794,1775542495508300794,488281,488281,0,0,0,-0.00942036,0.0120552,-1.01195,0.0152994,1.01206,2.5,0
16,30385,1.65388,16,1775542495,508789076,1775542495508789076,488281,488282,0,0,0,-0.00968489,0.0107412,-1.01066,0.0144627,1.01077,2.5,0
17,30385,1.65401,17,1775542495,509277357,1775542495509277357,488281,488281,0,0,0,-0.0104318,0.00922384,-1.00556,0.0139249,1.00565,2.5,0
18,30385,1.65407,18,1775542495,509765638,1775542495509765638,488281,488281,0,0,0,-0.00957596,0.009787,-1.00275,0.0136925,1.00284,2.5,0
19,30385,1.6541,19,1775542495,510253919,1775542495510253919,488281,488281,0,0,0,-0.00879793,0.0117267,-1.00614,0.0146601,1.00625,2.5,0
20,30385,1.65413,20,1775542495,510742201,1775542495510742201,488281,488282,0,0,0,-0.00784873,0.0130095,-1.01123,0.0151937,1.01134,2.5,0
21,30385,1.65417,21,1775542495,511230482,1775542495511230482,488281,488281,0,0,0,-0.00749084,0.0135257,-1.01548,0.0154615,1.01559,2.5,0
22,30385,1.65429,22,1775542495,511718763,1775542495511718763,488281,488281,0,0,0,-0.00898466,0.0139324,-1.01584,0.0165782,1.01598,2.5,0
23,30385,1.65437,23,1775542495,512207044,1775542495512207044,488281,488281,0,0,0,-0.0107586,0.0137134,-1.01332,0.01743,1.01347,2.5,0
24,30385,1.6544,24,1775542495,512695326,1775542495512695326,488281,488282,0,0,0,-0.0126259,0.0132754,-1.01033,0.0183207,1.01049,2.5,0
25,30385,1.65448,25,1775542495,513183607,1775542495513183607,488281,488281,0,0,0,-0.0125169,0.0123368,-1.01059,0.0175747,1.01074,2.5,0
26,30385,1.6546,26,1775542495,513671888,1775542495513671888,488281,488281,0,0,0,-0.0112876,0.0117111,-1.01471,0.0162653,1.01484,2.5,0
