bucket_index,start_sample_index,end_sample_index,start_timestamp_sec,end_timestamp_sec,sample_count,max_magnitude_xy,max_magnitude_xyz
0,0,99,1.50903,1.54826,100,0.0292567,0.0292567
1,100,199,1.55602,1.60221,100,0.0296283,0.0296283
2,200,299,1.60222,1.64914,100,0.0321368,0.0321368
3,300,399,1.64915,1.69601,100,0.0315393,0.0315393
4,400,499,1.69602,1.74291,100,0.0297616,0.0297616
5,500,599,1.75068,1.7973,100,0.0315901,0.0315901
6,600,699,1.79731,1.84423,100,0.0306293,0.0306293
7,700,799,1.84424,1.89115,100,0.029329,0.029329
8,800,899,1.89115,1.93814,100,0.0301102,0.0301102
9,900,999,1.94574,2.00247,100,0.0314961,0.0314961
10,1000,1099,2.00248,2.03952,100,0.0307746,0.0307746
11,1100,1199,2.03953,2.08716,100,0.0308305,0.0308305
12,1200,1299,2.08717,2.13333,100,0.0295977,0.0295977
13,1300,1399,2.14103,2.1883,100,0.0295055,0.0295055
14,1400,1499,2.18831,2.2357,100,0.0310512,0.0310512
15,1500,1599,2.23571,2.28222,100,0.031427,0.031427
16,1600,1699,2.28223,2.32872,100,0.0303684,0.0303684
17,1700,1799,2.3365,2.38327,100,0.0292991,0.0292991
18,1800,1899,2.38328,2.4304,100,0.0304862,0.0304862
19,1900,1999,2.43041,2.47732,100,0.030021,0.030021
20,2000,2099,2.47733,2.52472,100,0.0301084,0.0301084
21,2100,2199,2.53201,2.57855,100,0.0316117,0.0316117
22,2200,2299,2.57856,2.62557,100,0.0310298,0.0310298
23,2300,2399,2.62558,2.6725,100,0.0289735,0.0289735
24,2400,2499,2.67251,2.71921,100,0.0305852,0.0305852
25,2500,2599,2.72698,2.77397,100,0.0311284,0.0311284
26,2600,2699,2.77397,2.8209,100,0.0294243,0.0294243
27,2700,2799,2.82091,2.86822,100,0.0306438,0.0306438
28,2800,2899,2.86823,2.91459,100,0.0315771,0.0315771
29,2900,2999,2.92232,2.96933,100,0.0297557,0.0297557
30,3000,3099,2.96934,3.02057,100,0.0293105,0.0293105
31,3100,3199,3.02058,3.06308,100,0.0312202,0.0312202
32,3200,3299,3.06309,3.10994,100,0.0315605,0.0315605
33,3300,3399,3.11769,3.16457,100,0.0298009,0.0298009
34,3400,3499,3.16458,3.21164,100,0.0298582,0.0298582
35,3500,3599,3.21165,3.25849,100,0.0311573,0.0311573
36,3600,3699,3.25849,3.30562,100,0.0307001,0.0307001
37,3700,3799,3.31347,3.3606,100,0.0300152,0.0300152
38,3800,3899,3.36062,3.4067,100,0.0299375,0.0299375
39,3900,3999,3.40671,3.45378,100,0.0305219,0.0305219
40,4000,4099,3.45379,3.50064,100,0.029651,0.029651
41,4100,4199,3.50824,3.55519,100,0.030286,0.030286
42,4200,4299,3.55519,3.60208,100,0.0317541,0.0317541
43,4300,4399,3.60209,3.64895,100,0.0310327,0.0310327
44,4400,4499,3.64896,3.69588,100,0.0296103,0.0296103
45,4500,4599,3.70354,3.75045,100,0.0305425,0.0305425
46,4600,4699,3.75046,3.79798,100,0.030365,0.030365
47,4700,4799,3.79799,3.84445,100,0.0302673,0.0302673
48,4800,4899,3.84446,3.89145,100,0.030535,0.030535
49,4900,4999,3.89897,3.94602,100,0.030367,0.030367
